#{"t_start": 1722437127.1534574, "env_id": "SimpleTetris-v0"}
r,l,t
128.0,229,290.373271
138.0,239,291.167652
29.0,130,291.55337
71.0,172,292.154452
119.0,220,292.936722
41.0,142,293.5204
81.0,182,294.235535
110.0,211,294.985066
89.0,190,295.670069
67.0,168,296.330697
71.0,172,296.987953
37.0,138,297.488871
137.0,238,298.260694
116.0,217,299.025889
51.0,152,299.572961
78.0,179,300.223112
35.0,136,300.724007
73.0,174,301.327917
37.0,138,301.796185
121.0,222,302.579314
180.0,281,303.595864
39.0,140,304.164795
48.0,149,304.662253
120.0,221,305.383868
112.0,213,306.177872
63.0,164,306.779011
136.0,237,307.548606
65.0,166,308.086591
126.0,227,308.91494
58.0,159,309.464813
72.0,173,310.056707
107.0,208,310.764294
45.0,146,311.320052
89.0,190,311.948147
89.0,190,312.552366
72.0,173,313.099573
43.0,144,313.601974
73.0,174,314.222893
100.0,201,315.021604
-2.0,99,315.303296
93.0,194,315.990463
-12.0,89,316.32425
51.0,152,316.810712
76.0,177,317.47193
87.0,188,318.070128
64.0,165,318.606041
77.0,178,319.258026
124.0,225,320.055903
114.0,215,320.896912
69.0,170,321.429344
42.0,143,321.924592
31.0,132,322.495195
76.0,177,323.124278
55.0,156,323.725312
126.0,227,324.507332
111.0,212,325.244561
111.0,212,325.977855
85.0,186,326.695131
33.0,134,327.129799
22.0,123,327.542359
161.0,262,328.479759
82.0,183,329.144552
37.0,138,329.648222
94.0,195,330.305516
88.0,189,331.008235
24.0,125,331.417801
130.0,231,332.217012
106.0,207,332.923753
74.0,175,333.553098
106.0,207,334.302038
91.0,192,335.036042
89.0,190,335.684886
118.0,219,336.458942
86.0,187,337.154075
103.0,204,337.871678
47.0,148,338.355758
90.0,191,339.020856
109.0,210,339.760257
86.0,187,340.35773
111.0,212,341.074796
95.0,196,341.763161
127.0,228,342.495291
93.0,194,343.191423
89.0,190,343.797083
62.0,163,344.316087
43.0,144,344.846704
55.0,156,345.378708
121.0,222,346.195354
87.0,188,346.844209
104.0,205,347.528707
133.0,234,348.419663
91.0,192,349.102078
114.0,215,349.881717
133.0,234,350.66946
118.0,219,351.515605
67.0,168,352.100236
100.0,201,352.818078
137.0,238,353.649862
79.0,180,354.334991
117.0,218,355.185349
101.0,202,355.809347
52.0,153,356.387066
116.0,217,357.140141
37.0,138,357.573583
80.0,181,358.22867
139.0,240,359.001005
71.0,172,359.622627
116.0,217,360.41678
31.0,132,360.935657
122.0,223,361.705009
3.0,104,362.044175
-1.0,100,362.355566
64.0,165,362.843057
6.0,107,363.237092
168.0,269,364.159948
27.0,128,364.575437
69.0,170,365.147809
65.0,166,365.761208
75.0,176,366.378023
92.0,193,367.033253
53.0,154,367.546146
97.0,198,368.246436
96.0,197,368.987926
89.0,190,369.664677
112.0,213,370.365304
56.0,157,370.931604
68.0,169,371.582957
127.0,228,372.321013
60.0,161,372.986892
75.0,176,373.547472
114.0,215,374.320787
111.0,212,375.063739
48.0,149,375.589206
125.0,226,376.379453
99.0,200,377.053827
75.0,176,377.708081
139.0,240,378.522307
47.0,148,378.998473
28.0,129,379.458709
18.0,119,379.858176
75.0,176,380.45721
64.0,165,381.024462
20.0,121,381.461895
6.0,107,395.512975
