2024/08/26 03:12:30 PM > ep 4 done. total_steps=175 | reward=-70 | episode_steps=30 | hours=0.001 | epsilon=0.992
2024/08/26 03:12:32 PM > ep 5 done. total_steps=248 | reward=-27 | episode_steps=73 | hours=0.002 | epsilon=0.989
2024/08/26 03:12:34 PM > ep 6 done. total_steps=340 | reward=-8 | episode_steps=92 | hours=0.002 | epsilon=0.985
2024/08/26 03:12:37 PM > ep 7 done. total_steps=442 | reward=2 | episode_steps=102 | hours=0.003 | epsilon=0.980
2024/08/26 03:14:43 PM > ep 1 done. total_steps=43 | reward=-57 | episode_steps=43 | hours=0.000 | epsilon=0.998
2024/08/26 03:14:44 PM > ep 2 done. total_steps=97 | reward=-46 | episode_steps=54 | hours=0.001 | epsilon=0.996
2024/08/26 03:14:44 PM > ep 3 done. total_steps=145 | reward=-52 | episode_steps=48 | hours=0.001 | epsilon=0.994
2024/08/26 03:14:45 PM > ep 4 done. total_steps=182 | reward=-63 | episode_steps=37 | hours=0.001 | epsilon=0.992
2024/08/26 03:14:46 PM > ep 5 done. total_steps=249 | reward=-33 | episode_steps=67 | hours=0.001 | epsilon=0.989
2024/08/26 03:14:46 PM > ep 6 done. total_steps=279 | reward=-70 | episode_steps=30 | hours=0.001 | epsilon=0.988
2024/08/26 03:14:47 PM > ep 7 done. total_steps=327 | reward=-52 | episode_steps=48 | hours=0.001 | epsilon=0.985
2024/08/26 03:14:47 PM > ep 8 done. total_steps=356 | reward=-71 | episode_steps=29 | hours=0.002 | epsilon=0.984
2024/08/26 03:14:48 PM > ep 9 done. total_steps=403 | reward=-53 | episode_steps=47 | hours=0.002 | epsilon=0.982
2024/08/26 03:14:49 PM > ep 10 done. total_steps=493 | reward=-10 | episode_steps=90 | hours=0.002 | epsilon=0.978
2024/08/26 03:14:50 PM > ep 11 done. total_steps=528 | reward=-65 | episode_steps=35 | hours=0.002 | epsilon=0.977
2024/08/26 03:14:51 PM > ep 12 done. total_steps=596 | reward=-32 | episode_steps=68 | hours=0.003 | epsilon=0.974
2024/08/26 03:14:52 PM > ep 13 done. total_steps=667 | reward=-29 | episode_steps=71 | hours=0.003 | epsilon=0.971
2024/08/26 03:14:53 PM > ep 14 done. total_steps=722 | reward=-45 | episode_steps=55 | hours=0.003 | epsilon=0.968
2024/08/26 03:14:54 PM > ep 15 done. total_steps=796 | reward=-26 | episode_steps=74 | hours=0.003 | epsilon=0.965
2024/08/26 03:14:55 PM > ep 16 done. total_steps=859 | reward=-37 | episode_steps=63 | hours=0.004 | epsilon=0.962
2024/08/26 03:14:56 PM > ep 17 done. total_steps=898 | reward=-61 | episode_steps=39 | hours=0.004 | epsilon=0.961
2024/08/26 03:14:58 PM > ep 18 done. total_steps=1009 | reward=11 | episode_steps=111 | hours=0.004 | epsilon=0.956
