2024/08/24 04:24:30 PM > ep 66 done. total_steps=5198 | reward=-20 | episode_steps=81 | hours=0.013 | epsilon=0.794
2024/08/24 04:24:31 PM > ep 67 done. total_steps=5286 | reward=-13 | episode_steps=88 | hours=0.013 | epsilon=0.791
2024/08/24 04:24:31 PM > ep 68 done. total_steps=5370 | reward=-17 | episode_steps=84 | hours=0.013 | epsilon=0.788
2024/08/24 04:24:32 PM > ep 69 done. total_steps=5454 | reward=-17 | episode_steps=84 | hours=0.013 | epsilon=0.785
2024/08/24 04:24:33 PM > ep 70 done. total_steps=5554 | reward=-1 | episode_steps=100 | hours=0.014 | epsilon=0.782
2024/08/24 04:24:34 PM > ep 71 done. total_steps=5670 | reward=15 | episode_steps=116 | hours=0.014 | epsilon=0.778
2024/08/24 04:24:35 PM > ep 72 done. total_steps=5786 | reward=15 | episode_steps=116 | hours=0.014 | epsilon=0.774
2024/08/24 04:24:36 PM > ep 73 done. total_steps=5893 | reward=6 | episode_steps=107 | hours=0.015 | epsilon=0.770
2024/08/24 04:24:37 PM > ep 74 done. total_steps=5978 | reward=-16 | episode_steps=85 | hours=0.015 | epsilon=0.768
2024/08/24 04:24:37 PM > ep 75 done. total_steps=6058 | reward=-21 | episode_steps=80 | hours=0.015 | epsilon=0.765
2024/08/24 04:24:38 PM > ep 76 done. total_steps=6161 | reward=2 | episode_steps=103 | hours=0.015 | epsilon=0.761
2024/08/24 04:24:39 PM > ep 77 done. total_steps=6251 | reward=-11 | episode_steps=90 | hours=0.015 | epsilon=0.758
2024/08/24 04:24:40 PM > ep 78 done. total_steps=6316 | reward=-36 | episode_steps=65 | hours=0.016 | epsilon=0.756
2024/08/24 04:24:41 PM > ep 79 done. total_steps=6428 | reward=11 | episode_steps=112 | hours=0.016 | epsilon=0.753
2024/08/24 04:24:41 PM > ep 80 done. total_steps=6508 | reward=-21 | episode_steps=80 | hours=0.016 | epsilon=0.750
2024/08/24 04:24:42 PM > ep 81 done. total_steps=6587 | reward=-22 | episode_steps=79 | hours=0.016 | epsilon=0.747
2024/08/24 04:24:43 PM > ep 82 done. total_steps=6688 | reward=0 | episode_steps=101 | hours=0.017 | epsilon=0.744
2024/08/24 04:24:44 PM > ep 83 done. total_steps=6780 | reward=-9 | episode_steps=92 | hours=0.017 | epsilon=0.741
2024/08/24 04:24:45 PM > ep 84 done. total_steps=6866 | reward=-15 | episode_steps=86 | hours=0.017 | epsilon=0.739
2024/08/24 04:24:46 PM > ep 85 done. total_steps=6975 | reward=8 | episode_steps=109 | hours=0.017 | epsilon=0.735
2024/08/24 04:24:46 PM > ep 86 done. total_steps=7061 | reward=-15 | episode_steps=86 | hours=0.017 | epsilon=0.732
2024/08/24 04:24:47 PM > ep 87 done. total_steps=7157 | reward=-5 | episode_steps=96 | hours=0.018 | epsilon=0.729
2024/08/24 04:24:48 PM > ep 88 done. total_steps=7221 | reward=-37 | episode_steps=64 | hours=0.018 | epsilon=0.727
2024/08/24 04:24:49 PM > ep 89 done. total_steps=7306 | reward=-16 | episode_steps=85 | hours=0.018 | epsilon=0.725
2024/08/24 04:24:49 PM > ep 90 done. total_steps=7391 | reward=-16 | episode_steps=85 | hours=0.018 | epsilon=0.722
2024/08/24 04:24:50 PM > ep 91 done. total_steps=7498 | reward=6 | episode_steps=107 | hours=0.019 | epsilon=0.719
2024/08/24 04:24:51 PM > ep 92 done. total_steps=7599 | reward=0 | episode_steps=101 | hours=0.019 | epsilon=0.716
2024/08/24 04:24:52 PM > ep 93 done. total_steps=7687 | reward=-13 | episode_steps=88 | hours=0.019 | epsilon=0.713
2024/08/24 04:24:53 PM > ep 94 done. total_steps=7804 | reward=16 | episode_steps=117 | hours=0.019 | epsilon=0.709
2024/08/24 04:24:54 PM > ep 95 done. total_steps=7892 | reward=-13 | episode_steps=88 | hours=0.020 | epsilon=0.707
2024/08/24 04:24:55 PM > ep 96 done. total_steps=8008 | reward=15 | episode_steps=116 | hours=0.020 | epsilon=0.703
2024/08/24 04:24:56 PM > ep 97 done. total_steps=8105 | reward=-4 | episode_steps=97 | hours=0.020 | epsilon=0.700
